model,granularity,freq,series_id,horizon,train_size,test_size,MAE,RMSE,MAPE,SMAPE
Prophet,item,daily,53783135,14,68,14,1.4919308563718137,2.075899887584629,84.90737135146708,162.50626473226575
Naive,item,daily,56359936,14,104,14,0.5714285969734192,0.7559289629147828,0.0,177.77777777777777
SeasonalNaive,item,daily,56359936,14,104,14,0.2857142984867096,0.5345224957723572,100.0,200.0
AutoARIMA,item,daily,56359936,14,104,14,0.16257040202617645,0.2581240620953975,76.81296765804291,191.6343891791064
AutoETS,item,daily,56359936,14,104,14,0.2294921725988388,0.3023782173244197,69.97973322868347,189.73826071998553
Prophet,item,daily,56359936,14,104,14,0.2508645277374893,0.32999386843547474,68.69820184696218,189.4046307926232
Naive,item,daily,56867547,14,148,14,0.0,0.0,,
SeasonalNaive,item,daily,56867547,14,148,14,0.0,0.0,,
AutoARIMA,item,daily,56867547,14,148,14,0.025267405435442924,0.031957263369592113,,200.0
AutoETS,item,daily,56867547,14,148,14,0.02942805364727974,0.03712949709193902,,200.0
Prophet,item,daily,56867547,14,148,14,0.03381274081221076,0.0461939863136007,,200.0
Naive,item,daily,62367684,14,28,14,0.8571428656578064,1.0690449915447144,69.04761904761905,135.71428571428572
SeasonalNaive,item,daily,62367684,14,28,14,0.8571428656578064,1.0690449915447144,69.04761904761905,135.71428571428572
AutoARIMA,item,daily,62367684,14,28,14,0.8877550959587097,1.0532471039843365,72.78911698432196,138.7848942840729
AutoETS,item,daily,62367684,14,28,14,0.8878164291381836,1.053222146916167,72.79661013966515,138.79058538955553
Prophet,item,daily,62367684,14,28,14,0.933429015635218,1.074230890240964,77.01924746607477,142.18910634350965
Naive,item,daily,6775765,14,150,14,0.0714285746216774,0.2672612478861786,100.0,200.0
SeasonalNaive,item,daily,6775765,14,150,14,0.0714285746216774,0.2672612478861786,100.0,200.0
AutoARIMA,item,daily,6775765,14,150,14,0.3240998685359955,0.33942762746626326,65.46198725700378,192.6652672804774
AutoETS,item,daily,6775765,14,150,14,0.4037765562534332,0.4076039054837923,60.0674569606781,191.84657281042286
Prophet,item,daily,6775765,14,150,14,0.3714625729751507,0.3946429508214549,71.77220007946805,193.7103454191846
Naive,item,daily,68742107,14,14,14,1.3571428060531616,1.6690459514026799,83.33333333333333,164.28571428571428
SeasonalNaive,item,daily,68742107,14,14,14,1.3571428060531616,1.6690459514026799,83.33333333333333,164.28571428571428
AutoARIMA,item,daily,68742107,14,14,14,1.3622448444366455,1.663249645586892,84.18367306391399,164.89499583349357
AutoETS,item,daily,68742107,14,14,14,1.3622232675552368,1.663273082335035,84.18004569553193,164.89251307642135
Prophet,item,daily,68742107,14,14,14,1.3420223030095098,1.6496809168851216,82.96117972364353,163.27524521416368
Naive,item,daily,75484927,14,143,14,0.7857142686843872,0.9636240984048607,29.629629629629626,97.61904761904762
SeasonalNaive,item,daily,75484927,14,143,14,1.2142857313156128,1.3887301619217556,88.88888888888889,179.48717948717947
AutoARIMA,item,daily,75484927,14,143,14,0.9555445313453674,1.1691041358889607,71.45817125285112,144.35017199119252
AutoETS,item,daily,75484927,14,143,14,0.9246162176132202,1.1110225317667706,63.84068197674222,133.6693355878666
Prophet,item,daily,75484927,14,143,14,0.9044590892018685,1.0860540567769987,63.70813820404827,134.08805792986382
Naive,item,daily,76505941,14,104,14,0.0,0.0,,
SeasonalNaive,item,daily,76505941,14,104,14,0.0,0.0,,
AutoARIMA,item,daily,76505941,14,104,14,0.011755319312214851,0.01581514415383106,,200.0
AutoETS,item,daily,76505941,14,104,14,0.0401916541159153,0.04534229981987474,,200.0
Prophet,item,daily,76505941,14,104,14,0.06426888753661107,0.09266628945623091,,200.0
Naive,item,daily,76711646,14,136,14,0.6428571343421936,0.8017837204272693,,200.0
SeasonalNaive,item,daily,76711646,14,136,14,0.0714285746216774,0.2672612478861786,,200.0
